[2023-05-22 23:03:00,971] (set_logging:INFO) Files stored in "fspace-inference/wandb/run-bkz5jtf1/files".
[2023-05-22 23:03:01,651] (get_data_dir:DEBUG) Using default data directory from environment "/datasets".
Files already downloaded and verified
Files already downloaded and verified
[2023-05-22 23:03:03,312] (get_dataset:INFO) Loaded "cifar10".
[2023-05-22 23:03:03,388] (get_data_dir:DEBUG) Using default data directory from environment "/datasets".
Files already downloaded and verified
Files already downloaded and verified
[2023-05-22 23:03:04,858] (get_dataset:INFO) Loaded "cifar100".
[2023-05-22 23:11:05,984] (train_model:DEBUG) {'epoch': 8, 'batch_loss': 0.48492130637168884, 'ce_loss': 0.4822641611099243, 'reg_loss': 2657.15478515625}
[2023-05-22 23:11:19,549] (train_model:DEBUG) {'epoch': 8, 'batch_loss': 0.6195581555366516, 'ce_loss': 0.6164947748184204, 'reg_loss': 3063.405517578125}
[2023-05-22 23:11:33,117] (train_model:DEBUG) {'epoch': 8, 'batch_loss': 0.6819931864738464, 'ce_loss': 0.6783022284507751, 'reg_loss': 3690.966064453125}
[2023-05-22 23:11:46,687] (train_model:DEBUG) {'epoch': 8, 'batch_loss': 0.7223076224327087, 'ce_loss': 0.7191190719604492, 'reg_loss': 3188.56982421875}
[2023-05-22 23:12:00,546] (train_model:DEBUG) {'epoch': 9, 'batch_loss': 0.48146772384643555, 'ce_loss': 0.47792309522628784, 'reg_loss': 3544.624755859375}
[2023-05-22 23:12:14,098] (train_model:DEBUG) {'epoch': 9, 'batch_loss': 0.5509921908378601, 'ce_loss': 0.5477956533432007, 'reg_loss': 3196.54052734375}
[2023-05-22 23:12:27,644] (train_model:DEBUG) {'epoch': 9, 'batch_loss': 0.4987170994281769, 'ce_loss': 0.4950435757637024, 'reg_loss': 3673.53125}
[2023-05-22 23:12:41,186] (train_model:DEBUG) {'epoch': 9, 'batch_loss': 0.5364047288894653, 'ce_loss': 0.5335931777954102, 'reg_loss': 2811.531982421875}
[2023-05-22 23:13:01,208] (main:DEBUG) {'epoch': 9, 'acc': 0.6819999814033508, 'avg_nll': 0.9629827737808228, 'avg_ent': 0.5666415095329285}
[2023-05-22 23:13:01,242] (full_eval_model:INFO) Computing train metrics...
[2023-05-22 23:14:14,581] (full_eval_model:DEBUG) {'acc': 0.7055799961090088, 'sel_acc': 88.8601303100586, 'avg_nll': 0.8848340511322021, 'avg_ent': 0.6146016120910645, 'ece': 0.086381493434906}
[2023-05-22 23:14:14,582] (full_eval_model:INFO) Computing test metrics...
[2023-05-22 23:15:07,936] (full_eval_model:DEBUG) {'acc': 0.6819999814033508, 'sel_acc': 87.86357116699219, 'avg_nll': 0.9629827737808228, 'avg_ent': 0.5666415095329285, 'ece': 0.12212625530809165}
[2023-05-22 23:15:09,777] (train_model:DEBUG) {'epoch': 10, 'batch_loss': 0.4697585701942444, 'ce_loss': 0.46671611070632935, 'reg_loss': 3042.4736328125}
[2023-05-22 23:15:23,019] (train_model:DEBUG) {'epoch': 10, 'batch_loss': 0.599234938621521, 'ce_loss': 0.5948361158370972, 'reg_loss': 4398.828125}
[2023-05-22 23:15:36,280] (train_model:DEBUG) {'epoch': 10, 'batch_loss': 0.3899212181568146, 'ce_loss': 0.3860844373703003, 'reg_loss': 3836.781494140625}
[2023-05-22 23:15:49,579] (train_model:DEBUG) {'epoch': 10, 'batch_loss': 0.33238786458969116, 'ce_loss': 0.3287596106529236, 'reg_loss': 3628.255615234375}
[2023-05-22 23:16:03,424] (train_model:DEBUG) {'epoch': 11, 'batch_loss': 0.423075407743454, 'ce_loss': 0.4195649027824402, 'reg_loss': 3510.51708984375}
[2023-05-22 23:16:16,765] (train_model:DEBUG) {'epoch': 11, 'batch_loss': 0.3099336326122284, 'ce_loss': 0.3059639632701874, 'reg_loss': 3969.66455078125}
[2023-05-22 23:16:30,143] (train_model:DEBUG) {'epoch': 11, 'batch_loss': 0.34602224826812744, 'ce_loss': 0.3425251245498657, 'reg_loss': 3497.1240234375}
